col,imp
AB,0.30906004
AF,0.41323596
AH,0.44479617
AM,0.21780947
AR,0.6051236
AX,0.5568527
AY,0.7621752
AZ,0.9956983
BC,0.7937887
BD ,0.92193353
BN,0.84810495
BP,0.9350335
BQ,0.6277653
BR,0.8864928
BZ,0.971252
CB,0.5041202
CC,0.7087873
CD ,0.056666054
CF,0.9655536
CH,0.6897432
CL,0.80830574
CR,0.16641758
CS,0.908564
CU,0.94800144
CW ,0.94153774
DA,0.112183735
DE,0.7273234
DF,0.53059864
DH,0.90166944
DI,0.2681134
DL,0.7782896
DN,0.9540258
DU,0.9912275
DV,1.0
DY,0.64845157
EB,0.97656
EE,0.34584296
EG,0.8779371
EH,1.0
EJ,1.0
EL,0.9285059
EP,0.98661596
EU,0.5816249
FC,0.9153354
FD ,0.3810119
FE,0.894545
FI,0.66909766
FL,0.9816537
FR,0.745518
FS,0.86835206
GB,0.8585072
GE,0.9597954
GF,0.82249296
GH,1.0
GI,0.47570652
GL,0.8361069
